STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,CITIZENSHIP,Citizenship,FREQ,Frequency of observation,MEASURE,Measure,SEX,Sex,BIRTH_PLACE,Place of birth,EDUCATION_LEV,Education level,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2020,,28580,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2021,,28995,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2006,,31095,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2007,,31749,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2008,,32179,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2009,,31860,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2010,,32455,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2015,,29826,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,FRA,France,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2016,,29126,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2016,,346,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2017,,353,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2018,,369,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2019,,611,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2020,,575,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2021,,556,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2022,,598,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG(1.0),International migration database,I,SVN,Slovenia,USA,United States,A,Annual,B15,Stocks of foreign population,_T,Total,_Z,Not applicable,_Z,Not applicable,PS,Persons,2008,,184,,A,Normal value,0,Units,0,Zero
